2022-04-09 17:51:51,794 INFO    wandb_internal:14720 [internal.py:wandb_internal():91] W&B internal server running at pid: 14720, started at: 2022-04-09 17:51:51.793927
2022-04-09 17:51:51,795 INFO    MainThread:14720 [backend.py:ensure_launched():137] started backend process with pid: 0
2022-04-09 17:51:51,796 INFO    MainThread:14720 [wandb_init.py:init():423] backend started and connected
2022-04-09 17:51:51,796 DEBUG   MainThread:14720 [config_util.py:dict_from_config_file():101] no default config file found in config-defaults.yaml
2022-04-09 17:51:51,797 INFO    MainThread:14720 [wandb_run.py:_config_callback():787] config_cb None None {'batch_size': 128, 'dfeedforward': 1024, 'epochs': 24, 'nhead': 4, 'nlayers': 4}
2022-04-09 17:51:51,799 INFO    MainThread:14720 [wandb_init.py:init():465] updated telemetry
2022-04-09 17:51:51,799 INFO    MainThread:14720 [wandb_init.py:init():484] communicating current version
2022-04-09 17:51:51,800 DEBUG   HandlerThread:14720 [handler.py:handle_request():124] handle_request: check_version
2022-04-09 17:51:51,800 DEBUG   SenderThread:14720 [sender.py:send():179] send: header
2022-04-09 17:51:51,800 INFO    WriterThread:14720 [datastore.py:open_for_write():77] open: /home/ivlabs/context_enhancement/context_new/context_enhancement/wandb/run-20220409_175151-z44hpswp/run-z44hpswp.wandb
2022-04-09 17:51:51,800 DEBUG   SenderThread:14720 [sender.py:send_request():193] send_request: check_version
2022-04-09 17:51:52,170 INFO    MainThread:14720 [wandb_init.py:init():489] got version response upgrade_message: "wandb version 0.12.14 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-04-09 17:51:52,171 INFO    MainThread:14720 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2022-04-09 17:51:52,171 DEBUG   SenderThread:14720 [sender.py:send():179] send: run
2022-04-09 17:51:52,824 INFO    SenderThread:14720 [dir_watcher.py:__init__():168] watching files in: /home/ivlabs/context_enhancement/context_new/context_enhancement/wandb/run-20220409_175151-z44hpswp/files
2022-04-09 17:51:52,824 INFO    SenderThread:14720 [sender.py:_start_run_threads():707] run started: z44hpswp with start time 1649506911
2022-04-09 17:51:52,825 DEBUG   SenderThread:14720 [sender.py:send():179] send: summary
2022-04-09 17:51:52,826 INFO    MainThread:14720 [wandb_init.py:init():522] starting run threads in backend
2022-04-09 17:51:52,826 INFO    SenderThread:14720 [sender.py:_save_file():829] saving file wandb-summary.json with policy end
2022-04-09 17:51:52,827 DEBUG   HandlerThread:14720 [handler.py:handle_request():124] handle_request: run_start
2022-04-09 17:51:52,829 DEBUG   HandlerThread:14720 [meta.py:__init__():39] meta init
2022-04-09 17:51:52,829 DEBUG   HandlerThread:14720 [meta.py:__init__():53] meta init done
2022-04-09 17:51:52,829 DEBUG   HandlerThread:14720 [meta.py:probe():210] probe
2022-04-09 17:51:52,837 DEBUG   HandlerThread:14720 [meta.py:_setup_git():200] setup git
2022-04-09 17:51:52,869 DEBUG   HandlerThread:14720 [meta.py:_setup_git():207] setup git done
2022-04-09 17:51:52,869 DEBUG   HandlerThread:14720 [meta.py:_save_code():89] save code
2022-04-09 17:51:52,876 DEBUG   HandlerThread:14720 [meta.py:_save_code():110] save code done
2022-04-09 17:51:52,877 DEBUG   HandlerThread:14720 [meta.py:_save_patches():127] save patches
